canonical_smiles,molecule_chembl_id,pchembl_value,standard_units,standard_value,units,value,target,IC50_nM,pIC50,inchikey,MW,LogP,HBD,HBA,ro5_violations,TPSA,RotBonds,HeavyAtoms
Cl.O=C(N[C@@H]1CNCC[C@H]1c1cccc(F)c1)c1cc2c(s1)CCCn1ncc(Cl)c1-2,CHEMBL5407182,10.7,nM,0.02,nM,0.02,AKT1,0.02,10.698970004336019,KXQPBSLMZVNGEV-MAUKXSAKSA-N,481.42400000000026,4.647600000000004,2,4,0,58.95,3,31
Cl.O=C(N[C@@H]1CNCC[C@H]1c1ccc(F)c(F)c1)c1cc2c(s1)OCCn1ncc(Br)c1-2,CHEMBL5406146,10.64,nM,0.023,nM,0.023,AKT1,0.023,10.638272163982407,YEYGCAOMGAHTST-YVEFUNNKSA-N,545.8370000000002,4.342000000000003,2,5,1,68.18,3,32
Cl.O=C(N[C@@H]1CNCC[C@H]1c1cc(F)c(F)c(F)c1)c1ccc2c(c1)OCCn1nccc1-2,CHEMBL5414576,10.46,nM,0.035,nM,0.035,AKT1,0.035,10.455931955649724,APAMRVUFSPSIFZ-HNAYVOBHSA-N,478.9020000000002,3.6571000000000016,2,4,0,68.18,3,33
Cl.O=C(N[C@@H]1CNCC[C@H]1c1cccc(F)c1)c1cc2c(s1)CCCn1ncc(Br)c1-2,CHEMBL5398425,10.44,nM,0.036,nM,0.036,AKT1,0.036,10.443697499232712,YGYRWJDCUMRXMJ-MAUKXSAKSA-N,525.8750000000002,4.756700000000004,2,4,1,58.95,3,31
Cl.O=C(N[C@@H]1CNCC[C@H]1c1ccc(F)c(F)c1)c1cc2c(s1)OCCn1ncc(Cl)c1-2,CHEMBL5437264,10.28,nM,0.053,nM,0.053,AKT1,0.053,10.275724130399212,ILGPOMJJRVJTEL-YVEFUNNKSA-N,501.38600000000025,4.2329000000000025,2,5,1,68.18,3,32
Cl.O=C(N[C@@H]1CNCC[C@H]1c1cc(F)cc(F)c1)c1cc2c(s1)CCCn1ncc(Br)c1-2,CHEMBL5428430,10.27,nM,0.054,nM,0.054,AKT1,0.054,10.267606240177031,IBWDJNVWCDSMLK-MAUKXSAKSA-N,543.8650000000002,4.895800000000003,2,4,1,58.95,3,32
Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2ccc(F)c(F)c2)oc1Cl,CHEMBL3137336,10.18,nM,0.066,nM,0.066,AKT1,0.066,10.18045606445813,AXTAPYRUEKNRBA-JTQLQIEISA-N,429.25400000000013,3.5649000000000015,2,4,0,86.08,6,28
Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl,CHEMBL2219422,10.1,nM,0.08,nM,0.08,AKT1,0.08,10.096910013008056,AFJRDFWMXUECEW-LBPRGKRZSA-N,427.3320000000001,3.894300000000002,2,4,0,72.94,6,27
Cl.O=C(N[C@@H]1CNCC[C@H]1c1cc(F)c(F)c(F)c1)c1cc2c(s1)OCCn1ncc(Br)c1-2,CHEMBL5400934,10.08,nM,0.083,nM,0.083,AKT1,0.083,10.080921907623926,CPNKDRYVQOIHBT-MEDUHNTESA-N,563.8270000000002,4.481100000000003,2,5,1,68.18,3,33
Cl.O=C(N[C@@H]1CNCC[C@H]1c1ccc(F)c(F)c1)c1cc2c(s1)CCCn1ncc(Br)c1-2,CHEMBL5408482,10.04,nM,0.091,nM,0.091,AKT1,0.091,10.040958607678906,CEEODNJYPPDYNU-SCLBCKFNSA-N,543.8650000000002,4.895800000000003,2,4,1,58.95,3,32
