SMILES,nearest_training_tanimoto
O=C(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1,0.75
Cc1ccc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)n2C)cc1Br,0.8136
Cn1c(CC(=O)Nc2ccc(F)c(C3CCNCC3F)c2)nc(N2CCOCC2)cc1=O,0.7465
O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1,1
NC1(c2ccc(-c3nc4n(c3-c3ccccc3)COc3ccncc3-4)cc2)CC1,0.9245
Cn1ncc(Cl)c1-c1cc(C(=O)NC2CNCCC2c2ccccc2)oc1Cl,1
Cn1c(CC(=O)Nc2ccccc2OCCN2CCCCC2)nc(N2CCOCC2)cc1=O,0.7183
Cc1ncc(OCC(N)Cc2ccccc2)cc1-c1ccc2[nH]nc(C)c2c1,0.8421
O=C(Cc1nc(=O)cc(N2CCOCC2)[nH]1)N1CCc2c(Cl)cccc21,0.7377
Cn1nccc1-c1cc(F)c(C(=O)NC2CNCCC2c2ccncc2)c(F)c1,0.8167
Cn1c(CC(=O)Nc2cccc(Br)c2)nc(N2CCOCC2)cc1=O,0.7377
Cn1c(CC(=O)N2c3ccccc3CC2C2CC2)nc(N2CCOCC2)cc1=O,0.7903
Nc1ncnc(N2CCC(c3nc(-c4ccnc(Cl)c4)cn3CCN3CCC3)CC2)c1Br,0.7971
Cc1n[nH]c2ccc(-c3cc(OCC(N)Cc4ccccc4F)cnc3-c3ccoc3)cc12,0.8026
Cn1ncc(Cl)c1-c1ccc(C(=O)NC2CNCCC2c2ccnnc2)o1,0.8095
Cn1ncc(Br)c1-c1ccc(C(=O)NC2CNCCC2c2ccncc2)cc1,0.75
O=C(Nc1csc(-c2nncn2C2CC2)n1)c1cc(-n2cnc(C3CC3)c2)c(C(F)(F)F)cn1,0.7662
NC(COc1cncc(-c2ccc3c(c2)C(Cc2ccccc2)C(=O)N3)c1)Cc1cccnc1,0.7429
CC1Cc2cccnc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)n1C,0.7619
Cn1c(CC(=O)Nc2ccsc2O)nc(N2CCOCC2)cc1=O,0.7302
CC1Cc2ccccc2N1C(=O)Cc1nc(=N)cc(N2CCOCC2)[nH]1,0.7031
NC(=O)c1cccn2c(-c3ccccc3)c(-c3ccccc3)nc12,0.7292
Cn1c(CC(=O)N2CCc3c(C#N)cccc32)nc(N2CCOCC2)cc1=O,0.7903
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2cccnc2)cc1,0.7031
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2ccccc2)nc1,0.8226
CCNC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3ccnc(C(F)(F)F)c3)cn2CCN2CCC2)CC1,0.8205
COc1ccc2c(c1)CC(C)N2C(=O)Cc1nc(N2CCOCC2)cc(=O)n1C,0.7846
CN(C)C(=O)c1cccc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c1,0.7541
Cn1ncc(Cl)c1-c1ccc(C(=O)NC2CNCCC2c2ccccc2)o1,0.8667
Cn1nccc1-c1cccc(C(=O)NC2CNCCC2c2cccc(F)c2)n1,0.7463
Cc1[nH]nc2ccc(-c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3)cc12,0.7937
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccc(F)c4F)c3)cc12,1
Cc1n[nH]c2ccc(-c3nnc(NCC(N)Cc4ccccc4F)s3)cc12,0.8
O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccn1,0.8214
NC(=O)c1cccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc12,1
Cn1c(CC(=O)N2CCc3c(OCC(=O)N4CCCC4)cccc32)nc(N2CCOCC2)cc1=O,0.7361
Cc1ccc2nc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)n2c1,0.76
Cn1c(CC(=O)N2c3ccccc3CCc3ccccc32)nc(N2CCOCC2)cc1=O,0.8036
Cn1ncc(Br)c1-c1ccc(C(=O)NC2CNCCC2c2ccccc2)cc1,0.7619
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2ccc(F)cc2)cc1,0.8136
CC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3ccnc(F)c3)cn2CCN2CCC2)CC1,0.7333
Cn1ncc(Cl)c1-c1cc(C(=O)NC2CNCCC2c2ccc(F)c(F)c2)no1,0.7246
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3cccnc3)cn2CCN2CCC2)CC1,0.7639
Cn1ncc(Cl)c1-c1cc(C(=O)NC2CNCCC2c2ccc(F)c(F)c2)nc(C(F)(F)F)c1,0.7571
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2ccccc2)cc1,0.75
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccc(F)c4)c3)cc12,1
NC1(c2ccc(-c3nc4n(c3-c3ccccc3)COc3ccccc3-4)cc2)CC1,0.9167
Cn1c(CC(=O)Nc2ccc(F)c(Cl)c2)nc(N2CCOCC2)cc1=O,0.8
Cn1ncc(Br)c1-c1ccc(C(=O)NC2CNCCC2c2ccc(F)nc2)o1,0.7761
Cn1nccc1-c1cccc(C2CCNCC2NC(=O)c2ccc(F)cc2)c1,0.746
C=Cc1cccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc12,0.7451
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4ccccc4)c3)cc12,0.8214
Cc1n[nH]c2ncc(-c3cncc(OCC(N)Cc4ccc(F)cc4F)c3)cc12,0.8167
Cc1n[nH]c2cnc(-c3cncc(OCC(N)Cc4ccccc4)c3)cc12,1
CN(C)CC(NC(=O)c1ccc(-c2ccncc2)cc1)c1ccccc1,0.7111
Cn1nccc1-c1cc(F)c(C(=O)NC2CNCCC2c2ccccc2)c(Cl)c1,0.8308
