Name,SMILES,canonical_smiles,inchikey,in_pubchem,in_chembl,in_zinc,zinc_id,in_bindingdb,is_novel,checked_all_sources
Compound1,NC1(C(=O)NC(CO)c2ccccc2)CCN(c2ncnc3[nH]ccc23)CC1,NC1(C(=O)NC(CO)c2ccccc2)CCN(c2ncnc3[nH]ccc23)CC1,CGYQPZJOGUZYSG-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound2,NC1(C(=O)NCC23CC4CC(CC(C4)C2)C3)CCN(c2ncnc3[nH]ccc23)CC1,NC1(C(=O)NCC23CC4CC(CC(C4)C2)C3)CCN(c2ncnc3[nH]ccc23)CC1,LJADKWPQJPOXJO-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound3,CC(CC(F)(F)F)NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1,CC(CC(F)(F)F)NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1,ZDMIFSBDPGWALA-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound4,NC1(C(=O)NCC(F)F)CCN(c2ncnc3[nH]cc(Cl)c23)CC1,NC1(C(=O)NCC(F)F)CCN(c2ncnc3[nH]cc(Cl)c23)CC1,OWOZKYKXHYVTCT-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound5,NC1(c2ccc(-c3nc4c(C(=O)O)cccn4c3-c3ccccc3)cc2)CCC1,NC1(c2ccc(-c3nc4c(C(=O)O)cccn4c3-c3ccccc3)cc2)CCC1,DUZOLARKRUCPHL-UHFFFAOYSA-N,TRUE,FALSE,FALSE,,,FALSE,FALSE
Compound6,NC1(C(=O)NCCC23CC4CC(CC(C4)C2)C3)CCN(c2ncnc3[nH]ccc23)CC1,NC1(C(=O)NCCC23CC4CC(CC(C4)C2)C3)CCN(c2ncnc3[nH]ccc23)CC1,XUVYCEYUNLFGLA-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound7,CC1CCCCC1NC(=O)C1(N)CCN(c2ncnc3[nH]cc(Cl)c23)CC1,CC1CCCCC1NC(=O)C1(N)CCN(c2ncnc3[nH]cc(Cl)c23)CC1,FUWZCNJQXNYHOH-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound8,CNC(=O)C(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1cccc(Cl)c1,CNC(=O)C(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1cccc(Cl)c1,DJZNFOLYEALEAR-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound9,CNC(=O)C(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,CNC(=O)C(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,YVYFTHGXMBTNCU-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound10,CCNC(=O)C1(N)CCN(c2ncnc3[nH]cc(Cl)c23)CC1,CCNC(=O)C1(N)CCN(c2ncnc3[nH]cc(Cl)c23)CC1,SSIJNOGZEOTQBY-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound11,O=C(NC1CCCCC1)NC1CCN(c2ncnc3[nH]cc(Cl)c23)C1,O=C(NC1CCCCC1)NC1CCN(c2ncnc3[nH]cc(Cl)c23)C1,RLCYWNRWVUUVDH-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound12,CC(NC(=O)C1(N)CCN(c2ncnc3[nH]cc(Cl)c23)CC1)C(N)=O,CC(NC(=O)C1(N)CCN(c2ncnc3[nH]cc(Cl)c23)CC1)C(N)=O,HFZTYHFUUJLRGY-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound13,CC(C)NC(=O)C1(N)CCN(c2ncnc3[nH]cc(Cl)c23)CC1,CC(C)NC(=O)C1(N)CCN(c2ncnc3[nH]cc(Cl)c23)CC1,MTFKRSWPHMMDHD-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound14,CNC(=O)C1(N)CCN(c2ncnc3[nH]cc(Cl)c23)CC1,CNC(=O)C1(N)CCN(c2ncnc3[nH]cc(Cl)c23)CC1,KARLCJKCMQVZHZ-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound15,COc1ccc(-c2cc3c(C)nc(N)nc3n(C3CCC(O)CC3)c2=O)cn1,COc1ccc(-c2cc3c(C)nc(N)nc3n(C3CCC(O)CC3)c2=O)cn1,FETTYQBQNFSCDZ-UHFFFAOYSA-N,TRUE,FALSE,FALSE,,,FALSE,FALSE
Compound16,Cc1nc(N)nc2c1nc(-c1ccc(C(F)(F)F)cn1)c(=O)n2C1CCC(O)CC1,Cc1nc(N)nc2c1nc(-c1ccc(C(F)(F)F)cn1)c(=O)n2C1CCC(O)CC1,ZXEUTCNGOUIEQJ-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound17,CNC(=O)C(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1cccc(Cl)c1Cl,CNC(=O)C(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1cccc(Cl)c1Cl,YUSYKPQUWHHFMU-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound18,NC(=O)CC(NC(=O)N1CCC2(CC1)CCN(c1ncnc3[nH]ccc13)C2)c1ccc(Cl)cc1,NC(=O)CC(NC(=O)N1CCC2(CC1)CCN(c1ncnc3[nH]ccc13)C2)c1ccc(Cl)cc1,MHVHPPZRZDLTKR-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound19,CC(C)(N)CNC(=O)C1(N)CCN(c2ncnc3[nH]cc(Cl)c23)CC1,CC(C)(N)CNC(=O)C1(N)CCN(c2ncnc3[nH]cc(Cl)c23)CC1,DIBIYHKNJCHZSW-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
Compound20,NC1(C(=O)NC(Cc2ccc(Cl)cc2)C(=O)O)CCN(c2ncnc3[nH]ccc23)CC1,NC1(C(=O)NC(Cc2ccc(Cl)cc2)C(=O)O)CCN(c2ncnc3[nH]ccc23)CC1,NQLRVBYQOIPZER-UHFFFAOYSA-N,FALSE,FALSE,FALSE,,,TRUE,FALSE
